資料日期,股票代號,名稱,本益比,每股股利,殖利率,股價淨值比
"1110125","4909","新復興","N/A","0.30000000","1.62","0.72"
"1110125","4911","德英","N/A","0.00000000","0.00","2.25"
"1110125","4924","欣厚-KY","20.72","0.00000000","0.00","1.60"
"1110125","4931","新盛力","N/A","0.89022865","4.15","1.51"
"1110125","4933","友輝","10.05","2.18750120","5.82","0.94"
"1110125","4939","亞電","11.39","1.25000000","5.35","1.47"
"1110125","4944","兆遠","N/A","0.00000000","0.00","5.70"
"1110125","4945","陞達科技","23.98","1.60017295","2.31","3.23"
"1110125","4946","辣椒","67.07","0.00000000","0.00","5.45"
"1110125","4950","牧東","N/A","0.00000000","0.00","2.69"
"1110125","4953","緯軟","12.75","4.98387241","5.98","2.36"
"1110125","4966","譜瑞-KY","33.28","21.74092613","1.11","10.14"
"1110125","4971","IET-KY","20.92","1.00004999","1.57","1.64"
"1110125","4972","湯石照明","14.40","2.40000000","7.64","1.11"
"1110125","4973","廣穎","25.44","1.00000000","4.37","0.72"
"1110125","4974","亞泰","9.35","3.50000000","6.43","1.53"
"1110125","4979","華星光","N/A","0.00000000","0.00","1.57"
"1110125","4987","科誠","11.78","3.50000000","6.69","1.61"
"1110125","4991","環宇-KY","N/A","0.00000000","0.00","1.24"
"1110125","4995","晶達","21.96","1.79935464","4.88","1.94"
"1110125","5009","榮剛","15.38","0.40000000","1.97","1.02"
"1110125","5011","久陽","41.61","0.00000000","0.00","1.72"
"1110125","5013","強新","9.15","0.50000000","1.39","1.54"
"1110125","5014","建錩","6.69","0.00000000","0.00","1.31"
"1110125","5015","華祺","11.35","1.90000000","4.98","2.02"
"1110125","5016","松和","8.10","2.00000000","5.37","1.26"
"1110125","5102","富強","18.56","0.70000000","3.49","1.23"
"1110125","5201","凱衛","15.64","2.80000000","10.35","2.27"
"1110125","5202","力新","56.72","0.00000000","0.00","1.71"
"1110125","5205","中茂","N/A","0.00000000","0.00","7.43"
"1110125","5206","坤悅","9.27","1.30000000","8.55","0.79"
"1110125","5209","新鼎","11.47","3.96552506","5.71","3.40"
"1110125","5210","寶碩","N/A","0.00000000","0.00","1.82"
"1110125","5211","蒙恬","10.88","0.00000000","0.00","1.00"
"1110125","5212","凌網","16.13","2.85000000","6.16","3.59"
"1110125","5213","亞昕","9.26","1.99559743","8.87","1.02"
"1110125","5220","萬達光電","9.81","3.00000000","8.76","1.72"
"1110125","5223","安力-KY","9.50","3.41459762","6.43","1.27"
"1110125","5227","立凱-KY","N/A","0.00000000","0.00","8.38"
"1110125","5230","雷笛克光學","30.88","0.60000000","2.14","1.16"
"1110125","5236","凌陽創新","11.47","8.00000000","6.27","3.13"
"1110125","5245","智晶","20.18","1.00000000","1.30","2.93"
"1110125","5251","天鉞電","N/A","0.00000000","0.00","1.03"
"1110125","5263","智崴","N/A","0.00000000","0.00","2.36"
"1110125","5272","笙科","56.52","0.00000000","0.00","1.67"
"1110125","5274","信驊","93.18","26.00000000","0.85","33.51"
"1110125","5276","達輝-KY","16.77","0.00000000","0.00","1.05"
"1110125","5278","尚凡","16.26","10.89959684","4.24","8.87"
"1110125","5281","大峽谷-KY","N/A","0.80000000","3.53","1.00"
"1110125","5287","數字","17.03","13.83135756","6.03","5.53"
"1110125","5289","宜鼎","10.86","6.69560253","3.52","2.77"
"1110125","5291","邑昇","9.32","1.07121736","3.12","1.48"
"1110125","5299","杰力","11.33","6.49677520","3.58","4.37"
"1110125","5301","寶得利","N/A","0.00000000","0.00","1.28"
"1110125","5302","太欣","N/A","0.00000000","0.00","1.28"
"1110125","5306","桂盟","12.32","7.20000000","3.80","3.81"
"1110125","5309","系統電","167.39","0.00000000","0.00","5.24"
"1110125","5310","天剛","N/A","0.00000000","0.00","4.33"
"1110125","5312","寶島科","12.85","4.00000000","6.68","1.45"
"1110125","5314","世紀","N/A","0.00000000","0.00","1.96"
"1110125","5315","光聯","11.14","0.82082796","4.81","1.18"
"1110125","5321","美而快","57.58","0.00000000","0.00","7.31"
"1110125","5324","士開","N/A","0.00000000","0.00","1.24"
"1110125","5328","華容","52.31","0.00000000","0.00","1.33"
"1110125","5340","建榮","114.83","0.00000000","0.00","3.57"
"1110125","5344","立衛","28.57","0.00000000","0.00","3.53"
